,game_pk,at_bat_number,runner_id,pitcher_id,catcher_id,successful_sb,runner_sprint_speed,pitch_tempo,sb_att_rate,lead_dist_gained_opp,lead_dist_gained_att,pop_time,exchange_time,arm_strength,cs_aa_per_throw
0,717800,20,655316,676664,542208,1,28.0,17.433,0.02384737678855326,1.8473971880000002,9.773666667,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
1,717660,30,608070,676664,542208,0,27.8,17.433,0.02384737678855326,1.8473971880000002,9.773666667,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
2,717660,38,665926,676664,542208,1,29.2,17.433,0.02384737678855326,1.8473971880000002,9.773666667,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
3,718200,22,669352,686610,542208,1,30.4,15.792,0.01473684210526316,1.715637615,14.375142857,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
4,718565,43,516782,660261,542208,1,27.1,17.923,0.012096774193548387,3.6177899160000004,8.765,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
5,717800,42,680911,676664,542208,0,29.0,17.433,0.02384737678855326,1.8473971880000002,9.773666667,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
6,717756,74,677551,643493,542208,0,27.5,15.219000000000001,0.0125,3.771118421,9.362,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
7,718565,51,641796,543507,542208,1,29.2,15.83,0.04195804195804196,4.740930233,10.686666667,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
8,717884,42,664029,676664,542208,1,27.7,17.433,0.02384737678855326,1.8473971880000002,9.773666667,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
9,718050,60,664059,543507,542208,1,29.2,15.83,0.04195804195804196,4.740930233,10.686666667,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
10,717660,46,680757,676664,542208,0,28.1,17.433,0.02384737678855326,1.8473971880000002,9.773666667,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
11,717756,50,642336,663992,542208,0,26.2,14.07,0.02325581395348837,1.808565789,9.416,1.9884166669999999,0.6445833329999999,78.32061,0.17506544752504882
12,716753,36,663538,671096,571912,1,28.5,14.385,0.011086474501108648,1.532557252,10.2504,1.932114286,0.668685714,80.540741429,0.026139874890313185
13,718030,68,668800,641427,571912,1,25.8,14.352,0.07142857142857142,3.4605,16.887,1.932114286,0.668685714,80.540741429,0.026139874890313185
14,718085,47,656185,668881,571912,1,27.0,13.424000000000001,0.031630170316301706,4.763065934,11.7595,1.932114286,0.668685714,80.540741429,0.026139874890313185
15,718601,58,656541,664139,571912,1,29.0,14.184000000000001,0.04142011834319527,5.084990196000001,10.7955,1.932114286,0.668685714,80.540741429,0.026139874890313185
16,718668,71,669016,664139,571912,1,28.6,14.184000000000001,0.04142011834319527,5.084990196000001,10.7955,1.932114286,0.668685714,80.540741429,0.026139874890313185
17,716353,36,669242,668881,571912,0,28.8,13.424000000000001,0.031630170316301706,4.763065934,11.7595,1.932114286,0.668685714,80.540741429,0.026139874890313185
18,718601,59,660670,664139,571912,0,28.0,14.184000000000001,0.04142011834319527,5.084990196000001,10.7955,1.932114286,0.668685714,80.540741429,0.026139874890313185
19,718071,74,669242,664747,571912,1,28.8,15.841,0.09090909090909093,5.835259842999999,12.280538462,1.932114286,0.668685714,80.540741429,0.026139874890313185
20,717392,62,621438,650960,571912,1,28.8,15.66,0.020270270270270268,4.514884058,10.335333333,1.932114286,0.668685714,80.540741429,0.026139874890313185
21,717650,57,645277,664139,571912,1,27.6,14.184000000000001,0.04142011834319527,5.084990196000001,10.7955,1.932114286,0.668685714,80.540741429,0.026139874890313185
22,718515,24,666139,686651,571912,1,28.8,13.905,0.04166666666666666,4.800860465,9.6465,1.932114286,0.668685714,80.540741429,0.026139874890313185
23,717120,3,657041,671096,571912,1,29.3,14.385,0.011086474501108648,1.532557252,10.2504,1.932114286,0.668685714,80.540741429,0.026139874890313185
24,717262,78,621438,664747,571912,1,28.8,15.841,0.09090909090909093,5.835259842999999,12.280538462,1.932114286,0.668685714,80.540741429,0.026139874890313185
25,717188,61,663611,608371,571912,1,27.9,15.83,0.01293103448275862,4.7717227719999995,9.726333333,1.932114286,0.668685714,80.540741429,0.026139874890313185
26,717392,46,663368,571656,571912,1,30.0,15.932,0.03982300884955752,4.217507389,9.534888889,1.932114286,0.668685714,80.540741429,0.026139874890313185
27,716851,22,672695,668881,571912,1,27.2,13.424000000000001,0.031630170316301706,4.763065934,11.7595,1.932114286,0.668685714,80.540741429,0.026139874890313185
28,717601,51,656775,608371,571912,0,28.0,15.83,0.01293103448275862,4.7717227719999995,9.726333333,1.932114286,0.668685714,80.540741429,0.026139874890313185
29,718515,17,668227,686651,571912,1,28.4,13.905,0.04166666666666666,4.800860465,9.6465,1.932114286,0.668685714,80.540741429,0.026139874890313185
30,716574,19,542364,668881,571912,1,27.2,13.424000000000001,0.031630170316301706,4.763065934,11.7595,1.932114286,0.668685714,80.540741429,0.026139874890313185
31,717931,69,655316,664747,571912,1,28.0,15.841,0.09090909090909093,5.835259842999999,12.280538462,1.932114286,0.668685714,80.540741429,0.026139874890313185
32,716770,38,663538,594580,571912,1,28.5,17.492,0.028169014084507043,0.8597692309999999,11.7265,1.932114286,0.668685714,80.540741429,0.026139874890313185
33,716487,59,678225,664139,571912,1,29.7,14.184000000000001,0.04142011834319527,5.084990196000001,10.7955,1.932114286,0.668685714,80.540741429,0.026139874890313185
