"player_id","player_name","team_name","start_year","end_year","sb_attempts","catcher_stealing_runs","caught_stealing_above_average","n_cs","rate_cs","est_cs_pct","cs_aa_per_throw","seasonal_runner_speed","runner_distance_from_second","pop_time","exchange_time","arm_strength","n_xcs_with_flight_over_xcs","n_xcs_with_exchange_over_xcs","n_xcs_with_accuracy_over_xcs","n_xcs_with_ground_other_over_xcs","n_xcs_with_onfly_other_over_xcs","n_xcs_with_untracked_other_over_xcs"
669087,"Huff, Sam","TEX",2023,2023,4,-0.5207473721057099,-0.8011498032395536,0,0,0.20028745080988838,-0.20028745080988838,"28.675",57.23513362638757,"1.96775","0.6915","82.7479275",0.23390739838025087,-0.068078087505551,-0.541895502298677,-0.017968237543479648,-0.40711537427209676,0
663698,"Bart, Joey","SF",2023,2023,13,0.39137601188155635,0.6021169413562405,3,0.23076923076923078,0.1844525429725969,0.04631668779663388,"28.592307692",56.17628363694174,"2.018454545","0.773818182","81.514244545",0.7004854851545451,-1.1388516931577821,1.0947503603254591,0,-0.054267210965981916,0
681807,"Fry, David","CLE",2023,2023,9,-0.5683359724471931,-0.8743630345341433,1,0.11111111111111113,0.2082625593926826,-0.09715144828157149,"28.888888889",55.26637768672384,"1.911285714","0.627857143","81.832112857",0.3577537308272666,0.3177229322816262,-0.8997686561414144,0,-0.5626195029662246,-0.08745153853539683
543228,"Gomes, Yan","CHC",2023,2023,54,0.7129087996782824,1.096782768735819,14,0.25925925925925924,0.238948467245633,0.020310792013626282,"28.581481481",57.05468316109409,"1.982809524","0.580190476","74.266021667",-5.028709259129706,6.20670246566403,0.5182156732164913,-0.3260778815100663,-0.15983792351215936,-0.11351030599276918
686676,"Lee, Korey","CWS",2023,2023,20,-0.5496945482972141,-0.8456839204572524,4,0.2,0.2422841960228626,-0.042284196022862625,"28.51",56.945762595425364,"1.918333333","0.686066667","83.450034",1.6138613560314876,-0.31839847676142874,-1.3291252780278255,0.01795135868309411,-0.8299728803825801,0
666310,"Naylor, Bo","CLE",2023,2023,45,-1.1548545296916644,-1.7766992764487142,6,0.13333333333333336,0.17281553947663814,-0.039482206143304756,"28.582222222",55.23575815908549,"1.944526316","0.654842105","80.345347368",0.7921473993538749,1.0365431194113377,-0.5148578296816452,-0.3153980949944029,-2.7751338705378785,0
606992,"Haase, Eric","CLE",2023,2023,17,-0.26447782351152394,-0.4068889592484984,4,0.23529411764705882,0.25922876230873526,-0.023934644661676347,"28.735294118",57.429501813847395,"1.989","0.7142","80.927334667",0.5987933116355673,-0.9974621710094277,-0.7201019606651685,0.451375330805295,0.26050652998523594,0
641680,"Heim, Jonah","TEX",2023,2023,55,3.0964235198822694,4.763728492126568,18,0.32727272727272727,0.24065948196133516,0.08661324531139215,"28.423636364",56.83888029697068,"1.969018868","0.707830189","81.248361321",2.5551016212917634,-2.606813366241704,2.636232156277241,1.729245820764682,0.4499622600345876,0
571912,"Maile, Luke","CIN",2023,2023,48,0.8155640965777712,1.2547139947350325,11,0.22916666666666674,0.2030267917763535,0.026139874890313185,"28.454166667",55.69281510474209,"1.932114286","0.668685714","80.540741429",1.132038147284275,0.09758820246163225,-0.7477155027449296,1.786076783406569,-1.9553277169422711,0.9420540812697569
608596,"Murphy, Tom","SEA",2023,2023,19,-2.101678484286729,-3.2333515142872753,1,0.05263157894736843,0.22280797443617237,-0.17017639548880392,"28.521052632",55.231505828446934,"2.046454545","0.739545455","79.5702",-0.015025806824006588,-1.858636544742007,-0.8670003202491916,-0.07204823863546134,-0.4206406038366086,0
608360,"Okey, Chris","LAA",2023,2023,3,0.09238644995669619,0.14213299993337875,1,0.33333333333333337,0.28595566668887373,0.04737766664445958,"28.966666667",60.2243150149637,"2.017333333","0.677333333","76.881566667",-0.1642044153152452,0.12746272779288834,-0.010446415678279336,0.03407557650965737,0.15524552662435753,0
669257,"Smith, Will","LAD",2023,2023,58,-0.37208731730733297,-0.5724420266266661,9,0.15517241379310343,0.1650421039073563,-0.009869690114252866,"28.506896552",55.37256451899975,"1.916411765","0.6163","80.205576275",0.48684497672473526,3.126287961418238,-0.6558156478389966,1.013388444584896,-4.509091698153473,-0.03405606336206583
656180,"Adams, Riley","WSH",2023,2023,23,-0.30126172899562836,-0.46347958307019743,3,0.13043478260869568,0.150586068829139,-0.020151286220443362,"28.886956522",56.435973656484016,"1.935111111","0.650444444","82.370238333",1.0237300039634318,0.12336124626351544,-1.2199628597473628,0.4955335837013032,-0.8861415572510848,0
592200,"Casali, Curt","CIN",2023,2023,13,0.7937729929663307,1.221189219948201,5,0.38461538461538464,0.2906777523116768,0.0939376323037078,"28.2",57.69897007526543,"1.991","0.574461538","75.494736154",-1.3388664301198325,2.4979252001767507,0.5251473818798593,-0.21344342364896804,-0.2495735083396079,0
641511,"Delay, Jason","PIT",2023,2023,30,-2.3995269729171786,-3.691579958334121,3,0.1,0.22305266527780407,-0.12305266527780405,"28.26",56.328598579941286,"1.98725","0.633041667","75.725047083",-2.5985955054080487,1.1383154642229418,-1.6489271895701914,0.3065632230695765,-0.8889359506483989,0
673237,"Diaz, Yainer","HOU",2023,2023,36,2.3504971120068654,3.6161494030874852,10,0.2777777777777777,0.17732918324756988,0.10044859453020794,"28.3",54.12501258299621,"1.9025","0.6935","85.019357813",3.7277289934268962,-1.1380106484361758,1.3789569534460924,-0.37000215431933586,0.01747625897000843,0
